gridSize,steps,Serial Time,NUM_THREADS,Parallel Total Time,Actual Speedup,Efficiency
500,600,1681.53,2,895.88,1.88,0.94
500,600,1681.53,4,578.73,2.91,0.73
500,600,1681.53,8,718.69,2.34,0.29
500,1000,2838.62,2,1534.98,1.85,0.92
500,1000,2838.62,4,963.68,2.95,0.74
500,1000,2838.62,8,2375.79,1.19,0.15
1000,600,6959.35,2,3628.44,1.92,0.96
1000,600,6959.35,4,2083.99,3.34,0.83
1000,600,6959.35,8,3848.85,1.81,0.23
1000,1000,11754.66,2,6066.64,1.94,0.97
1000,1000,11754.66,4,3567.55,3.29,0.82
1000,1000,11754.66,8,6944.95,1.69,0.21
