gridSize,steps,Serial Time,NUM_THREADS,Parallel Total Time,Actual Speedup,Efficiency,p,Amdahl Speedup,Max Speedup
500,600,1681.53,2,895.88,1.88,0.94,0.95,1.9,20.0
500,600,1681.53,4,578.73,2.91,0.73,0.95,3.48,20.0
500,600,1681.53,8,718.69,2.34,0.29,0.95,5.93,20.0
500,1000,2838.62,2,1534.98,1.85,0.92,0.95,1.9,20.0
500,1000,2838.62,4,963.68,2.95,0.74,0.95,3.48,20.0
500,1000,2838.62,8,2375.79,1.19,0.15,0.95,5.93,20.0
1000,600,6959.35,2,3628.44,1.92,0.96,0.975,1.95,40.0
1000,600,6959.35,4,2083.99,3.34,0.83,0.975,3.72,40.0
1000,600,6959.35,8,3848.85,1.81,0.23,0.975,6.81,40.0
1000,1000,11754.66,2,6066.64,1.94,0.97,0.975,1.95,40.0
1000,1000,11754.66,4,3567.55,3.29,0.82,0.975,3.72,40.0
1000,1000,11754.66,8,6944.95,1.69,0.21,0.975,6.81,40.0
